"cow","year","terrorinclead","terrorinc","totspendrevlog","transferslog","welfarelog","poplog","democ","govcap","conflict","govleft","tradelog","europe","africa","asia","america","gdppclog","totspendrevper","welfarepercent","transfersper"
640,1995,5,3,-1.72597169876099,-4.43121671676636,-3.36969876289368,17.9199905395508,8,0.888168752193451,0,0,3.78968906402588,0,0,0,0,8.69097805023193,17.8000011444092,3.44000005722046,1.19000017642975
651,1975,3,0,-0.873949944972992,-2.78547143936157,-2.18925642967224,17.4070205688477,-7,0.924004435539246,0,0,4.11839199066162,0,0,0,0,6.48616123199463,41.7299995422363,11.2000007629395,6.16999959945679
651,1976,2,3,-1.00130414962769,-2.67075443267822,NA,17.4286003112793,-6,0.841852724552155,0,0,4.03008651733398,0,0,0,0,6.61606502532959,36.7399978637695,NA,6.92000007629395
651,1977,1,2,-0.885034322738647,-2.65356206893921,NA,17.451639175415,-6,0.992927551269531,0,0,4.01963424682617,0,0,0,0,6.75343799591064,41.2700004577637,NA,7.03999996185303
651,1978,4,1,-0.956852376461029,-3.03032374382019,NA,17.4758491516113,-6,0.972766101360321,0,0,4.07354116439819,0,0,0,0,6.87626504898071,38.4099998474121,NA,4.82999992370605
651,1979,1,4,-0.983499467372894,-3.06401109695435,NA,17.5007591247559,-6,0.941203355789185,0,0,4.35752582550049,0,0,0,0,7.03438806533813,37.4000015258789,NA,4.67000007629395
651,1980,5,1,-0.8877032995224,-2.95843648910522,NA,17.526029586792,-6,0.960342526435852,0,0,4.2956600189209,0,0,0,0,7.21524000167847,41.1599998474121,NA,5.19000005722046
651,1981,3,5,-0.753534317016602,-2.72723317146301,-2.13368654251099,17.5516490936279,-5,0.941470146179199,0,0,4.40887117385864,0,0,0,0,7.28960990905762,47.0699996948242,11.8400001525879,6.53999900817871
651,1982,1,3,-0.759500682353973,-2.58229899406433,-2.02495336532593,17.5775394439697,-5,0.942046225070953,0,0,4.23362588882446,0,0,0,0,7.37274599075317,46.7900009155273,13.1999998092651,7.55999994277954
651,1983,10,1,-0.858257710933685,-2.65498352050781,-2.08104276657104,17.6035308837891,-5,0.929183423519135,0,0,4.12570524215698,0,0,0,0,7.40427923202515,42.3899993896484,12.4799995422363,7.02999973297119
651,1984,7,10,-0.938280761241913,-2.67220044136047,-2.07704448699951,17.6294708251953,-5,0.860309302806854,0,0,4.06326246261597,0,0,0,0,7.48661279678345,39.1300010681152,12.5299987792969,6.91000080108643
651,1985,5,7,-1.00130414962769,-2.7504358291626,-2.11527609825134,17.6551990509033,-5,0.843311607837677,0,0,3.95039367675781,0,0,0,0,7.60240077972412,36.7399978637695,12.0600004196167,6.39000082015991
651,1986,6,5,-1.00950312614441,-2.80676603317261,-2.18569135665894,17.6803607940674,-5,0.836572527885437,0,0,3.72149181365967,0,0,0,0,7.67971420288086,36.439998626709,11.2399997711182,6.04000091552734
651,1987,8,6,-1.12239277362823,-2.91323113441467,-2.30759763717651,17.7049407958984,-5,0.712708950042725,0,0,3.56459093093872,0,0,0,0,7.67182683944702,32.5500030517578,9.94999980926514,5.42999935150146
651,1988,5,8,-1.12917459011078,-2.7551417350769,-2.21183061599731,17.7289390563965,-5,0.699575901031494,0,0,3.9604229927063,0,0,0,0,7.75747919082642,32.3300018310547,10.9500007629395,6.36000061035156
651,1989,9,5,-1.22315561771393,-2.92062473297119,-2.24243116378784,17.7523708343506,-5,0.746367454528809,0,0,3.91690874099731,0,0,0,0,7.77569580078125,29.4299983978271,10.6199998855591,5.39000034332275
651,1990,9,9,-1.41099691390991,-2.93369698524475,-2.38488030433655,17.7752208709717,-3,0.716066837310791,0,0,3.96577000617981,0,0,0,0,7.82764005661011,24.3899993896484,9.21000003814697,5.31999969482422
651,1991,5,9,-1.14381885528564,-2.99174022674561,-2.39470052719116,17.7973709106445,-3,0.739840149879456,1,0,4.15279102325439,0,0,0,0,7.82524490356445,31.8600006103516,9.11999893188477,5.01999998092651
